Company Name,Job Title,Location,Matched Tech & Skills,Date Posted,Days Active,Direct Job URL,The Pain Hook
Dätwyler IT Infra AG,ICT Senior System Engineer (all genders),Altdorf UR,,2026-03-06,0,https://www.jobs.ch/de/stellenangebote/detail/6fa681a6-8253-4763-b6b9-1ec20163dddb/,Solution Design und technische Führung über Projekte und Kundenumgebungen .
IQ Plus AG,IT-System Engineer/in (56351),Olten,,2026-03-06,0,https://www.jobs.ch/de/stellenangebote/detail/0522bd3b-18a2-4353-8fd8-61aab653c15c/,Not Found
Romer's Hausbäckerei AG,Microsoft System Engineer (m/w/d),Benken SG,,2026-03-06,0,https://www.jobs.ch/de/stellenangebote/detail/4d1f1462-1c53-4540-8a5a-1afa9350403e/,Not Found
Evergreen Human Resources AG,System Engineer als Projektleiter/in Systemtechnik (80 - 100%) / Fest,Zürich,,2026-03-06,0,https://www.jobs.ch/de/stellenangebote/detail/fcf32432-9037-487d-bac6-8edbbd42d692/,Not Found
Evergreen Human Resources AG,ICT System Engineer / Citrix Specialist 100% / Fest,Zürich,,2026-03-06,0,https://www.jobs.ch/de/stellenangebote/detail/09031cdc-fe24-43ff-aa44-47ae728c54e2/,Not Found
